LAM,Th_P90,Th_P90_corr,Th_P0,Th_P0_corr,Th_UnPol,Th_UnPol_corr,Lab_P90,Lab_P90_corr,Lab_P0,Lab_P0_corr,Lab_Unpol,Lab_Unpol_corr,,V-Arm
0.5173,0.9207,0.474710122717724,0.8934,0.460634325660926,0.907,0.467646444341236,0.8605,0.443671185618118,0.835,0.430523463092538,0.8478,0.437123104203418,,0.515596961787471
0.5174,0.9211,0.474916361502439,0.8934,0.460634325660926,0.9073,0.467801123429772,0.861,0.443928984099012,0.8351,0.430575022788717,0.848,0.437226223595775,,0.515596961787471
0.5175,0.9216,0.475174159983333,0.8934,0.460634325660926,0.9075,0.467904242822129,0.8615,0.444186782579906,0.8351,0.430575022788717,0.8483,0.437380902684311,,0.515596961787471
0.5176,0.922,0.475380398768048,0.8934,0.460634325660926,0.9077,0.468007362214487,0.8619,0.444393021364621,0.8351,0.430575022788717,0.8485,0.437484022076669,,0.515596961787471
0.5177,0.9225,0.475638197248942,0.8933,0.460582765964747,0.9079,0.468110481606845,0.8624,0.444650819845515,0.8352,0.430626582484895,0.8488,0.437638701165205,,0.515596961787471
0.5178,0.9229,0.475844436033657,0.8933,0.460582765964747,0.9081,0.468213600999202,0.8629,0.444908618326408,0.8352,0.430626582484895,0.8491,0.437793380253741,,0.515596961787471
0.5179,0.9233,0.476050674818372,0.8933,0.460582765964747,0.9083,0.468316720391559,0.8634,0.445166416807302,0.8352,0.430626582484895,0.8493,0.437896499646099,,0.515596961787471
0.518,0.9237,0.476256913603087,0.8932,0.460531206268569,0.9085,0.468419839783917,0.8638,0.445372655592017,0.8353,0.430678142181074,0.8496,0.438051178734635,,0.515596961787471
0.5181,0.9241,0.476463152387802,0.8931,0.46047964657239,0.9086,0.468471399480096,0.8643,0.445630454072911,0.8353,0.430678142181074,0.8498,0.438154298126992,,0.515596961787471
0.5182,0.9245,0.476669391172516,0.8931,0.46047964657239,0.9088,0.468574518872453,0.8647,0.445836692857626,0.8353,0.430678142181074,0.85,0.43825741751935,,0.515596961787471
0.5183,0.9249,0.476875629957232,0.893,0.460428086876211,0.9089,0.468626078568632,0.8652,0.446094491338519,0.8354,0.430729701877253,0.8503,0.438412096607886,,0.515596961787471
0.5184,0.9252,0.477030309045768,0.8929,0.460376527180032,0.9091,0.468729197960989,0.8657,0.446352289819413,0.8354,0.430729701877253,0.8505,0.438515216000244,,0.515596961787471
0.5185,0.9256,0.477236547830483,0.8928,0.460324967483854,0.9092,0.468780757657168,0.8661,0.446558528604128,0.8354,0.430729701877253,0.8508,0.43866989508878,,0.515596961787471
0.5186,0.9259,0.477391226919019,0.8927,0.460273407787675,0.9093,0.468832317353347,0.8665,0.446764767388843,0.8354,0.430729701877253,0.851,0.438773014481137,,0.515596961787471
