LAM,Th_P90,Th_P90_corr,Th_P0,Th_P0_corr,Th_UnPol,Th_UnPol_corr,Lab_90,Lab_P90_corr,Lab_P0 ,Lab_P0_corr,Lab_Unpol,Lab_Unpol_corr,,R-Arm
0.6359,0.7813,0.402835906244551,0.825,0.425367493474663,0.8031,0.414075920011518,0.7425,0.382830744127197,0.7841,0.404279577737556,0.7633,0.393555160932376,,0.515596961787471
0.636,0.7823,0.403351503206338,0.8257,0.425728411347914,0.804,0.414539957277126,0.7436,0.383397900785163,0.7848,0.404640495610807,0.7642,0.394019198197985,,0.515596961787471
0.6361,0.7834,0.403918659864304,0.8263,0.426037769524987,0.8049,0.415003994542735,0.7448,0.384016617139308,0.7856,0.405052973180237,0.7652,0.394534795159772,,0.515596961787471
0.6362,0.7844,0.404434256826092,0.827,0.426398687398238,0.8057,0.415416472112165,0.7459,0.384583773797274,0.7864,0.405465450749667,0.7661,0.394998832425381,,0.515596961787471
0.6363,0.7855,0.405001413484058,0.8276,0.426708045575311,0.8066,0.415880509377774,0.747,0.38515093045524,0.7871,0.405826368622918,0.7671,0.395514429387169,,0.515596961787471
0.6364,0.7865,0.405517010445846,0.8283,0.427068963448562,0.8074,0.416292986947204,0.7482,0.385769646809385,0.7879,0.406238846192348,0.768,0.395978466652777,,0.515596961787471
0.6365,0.7876,0.406084167103812,0.8289,0.427378321625634,0.8082,0.416705464516634,0.7493,0.386336803467352,0.7886,0.406599764065599,0.769,0.396494063614565,,0.515596961787471
0.6366,0.7886,0.406599764065599,0.8295,0.427687679802707,0.8091,0.417169501782242,0.7504,0.386903960125318,0.7894,0.407012241635029,0.7699,0.396958100880174,,0.515596961787471
0.6367,0.7897,0.407166920723565,0.8302,0.428048597675958,0.8099,0.417581979351672,0.7516,0.387522676479463,0.7901,0.40737315950828,0.7708,0.397422138145782,,0.515596961787471
0.6368,0.7907,0.407682517685353,0.8308,0.428357955853031,0.8108,0.418046016617281,0.7527,0.388089833137429,0.7908,0.407734077381532,0.7718,0.39793773510757,,0.515596961787471
0.6369,0.7917,0.40819811464714,0.8314,0.428667314030103,0.8116,0.418458494186711,0.7538,0.388656989795395,0.7916,0.408146554950962,0.7727,0.398401772373179,,0.515596961787471
0.637,0.7928,0.408765271305107,0.832,0.428976672207175,0.8124,0.418870971756141,0.7549,0.389224146453362,0.7923,0.408507472824213,0.7736,0.398865809638787,,0.515596961787471
0.6371,0.7938,0.409280868266894,0.8327,0.429337590080427,0.8132,0.419283449325571,0.756,0.389791303111328,0.793,0.408868390697464,0.7745,0.399329846904396,,0.515596961787471
0.6372,0.7948,0.409796465228682,0.8333,0.429646948257499,0.8141,0.41974748659118,0.7571,0.390358459769294,0.7937,0.409229308570715,0.7754,0.399793884170005,,0.515596961787471
0.6373,0.7959,0.410363621886648,0.8339,0.429956306434572,0.8149,0.42015996416061,0.7582,0.39092561642726,0.7944,0.409590226443967,0.7763,0.400257921435613,,0.515596961787471
0.6374,0.7969,0.410879218848435,0.8345,0.430265664611644,0.8157,0.42057244173004,0.7593,0.391492773085226,0.7951,0.409951144317218,0.7772,0.400721958701222,,0.515596961787471
0.6375,0.7979,0.411394815810223,0.8351,0.430575022788717,0.8165,0.42098491929947,0.7604,0.392059929743193,0.7958,0.410312062190469,0.7781,0.401185995966831,,0.515596961787471
0.6376,0.7989,0.41191041277201,0.8357,0.430884380965789,0.8173,0.4213973968689,0.7615,0.392627086401159,0.7965,0.41067298006372,0.779,0.40165003323244,,0.515596961787471
0.6377,0.8,0.412477569429976,0.8363,0.431193739142862,0.8181,0.42180987443833,0.7626,0.393194243059125,0.7972,0.411033897936972,0.7799,0.402114070498048,,0.515596961787471
0.6378,0.801,0.412993166391764,0.8368,0.431451537623755,0.8189,0.42222235200776,0.7637,0.393761399717091,0.7979,0.411394815810223,0.7808,0.402578107763657,,0.515596961787471
0.6379,0.802,0.413508763353551,0.8374,0.431760895800828,0.8197,0.42263482957719,0.7647,0.394276996678879,0.7985,0.411704173987295,0.7816,0.402990585333087,,0.515596961787471
0.638,0.803,0.414024360315339,0.838,0.4320702539779,0.8205,0.42304730714662,0.7658,0.394844153336845,0.7992,0.412065091860546,0.7825,0.403454622598696,,0.515596961787471
0.6381,0.804,0.414539957277126,0.8386,0.432379612154973,0.8213,0.42345978471605,0.7668,0.395359750298632,0.7999,0.412426009733798,0.7833,0.403867100168126,,0.515596961787471
0.6382,0.805,0.415055554238914,0.8392,0.432688970332045,0.8221,0.42387226228548,0.7679,0.395926906956599,0.8005,0.41273536791087,0.7842,0.404331137433734,,0.515596961787471
0.6383,0.806,0.415571151200701,0.8398,0.432998328509118,0.8229,0.424284739854909,0.7689,0.396442503918386,0.8012,0.413096285784121,0.785,0.404743615003164,,0.515596961787471
0.6384,0.807,0.416086748162489,0.8403,0.433256126990012,0.8237,0.424697217424339,0.77,0.397009660576352,0.8018,0.413405643961194,0.7859,0.405207652268773,,0.515596961787471
0.6385,0.808,0.416602345124276,0.8409,0.433565485167084,0.8244,0.425058135297591,0.771,0.39752525753814,0.8024,0.413715002138266,0.7867,0.405620129838203,,0.515596961787471
0.6386,0.809,0.417117942086064,0.8415,0.433874843344156,0.8252,0.425470612867021,0.772,0.398040854499927,0.8031,0.414075920011518,0.7875,0.406032607407633,,0.515596961787471
0.6387,0.81,0.417633539047851,0.8421,0.434184201521229,0.826,0.425883090436451,0.7731,0.398608011157893,0.8037,0.41438527818859,0.7884,0.406496644673242,,0.515596961787471
0.6388,0.8109,0.41809757631346,0.8426,0.434442000002123,0.8268,0.426295568005881,0.7741,0.399123608119681,0.8043,0.414694636365663,0.7892,0.406909122242672,,0.515596961787471
0.6389,0.8119,0.418613173275247,0.8432,0.434751358179195,0.8275,0.426656485879132,0.7751,0.399639205081468,0.8049,0.415003994542735,0.79,0.407321599812102,,0.515596961787471
0.639,0.8129,0.419128770237035,0.8437,0.435009156660089,0.8283,0.427068963448562,0.7761,0.400154802043256,0.8055,0.415313352719807,0.7908,0.407734077381532,,0.515596961787471
0.6391,0.8139,0.419644367198822,0.8443,0.435318514837161,0.8291,0.427481441017992,0.7771,0.400670399005043,0.8061,0.41562271089688,0.7916,0.408146554950962,,0.515596961787471
0.6392,0.8148,0.420108404464431,0.8449,0.435627873014234,0.8298,0.427842358891243,0.7781,0.401185995966831,0.8067,0.415932069073952,0.7924,0.408559032520392,,0.515596961787471
0.6393,0.8158,0.420624001426218,0.8454,0.435885671495128,0.8306,0.428254836460673,0.779,0.40165003323244,0.8073,0.416241427251025,0.7932,0.408971510089822,,0.515596961787471
0.6394,0.8168,0.421139598388006,0.846,0.4361950296722,0.8314,0.428667314030103,0.78,0.402165630194227,0.8079,0.416550785428097,0.794,0.409383987659252,,0.515596961787471
0.6395,0.8177,0.421603635653615,0.8465,0.436452828153094,0.8321,0.429028231903354,0.781,0.402681227156014,0.8085,0.41686014360517,0.7947,0.409744905532503,,0.515596961787471
0.6396,0.8187,0.422119232615402,0.847,0.436710626633988,0.8329,0.429440709472784,0.7819,0.403145264421623,0.809,0.417117942086064,0.7955,0.410157383101933,,0.515596961787471
0.6397,0.8196,0.422583269881011,0.8476,0.43701998481106,0.8336,0.429801627346035,0.7829,0.403660861383411,0.8096,0.417427300263136,0.7963,0.410569860671363,,0.515596961787471
0.6398,0.8206,0.423098866842798,0.8481,0.437277783291954,0.8343,0.430162545219287,0.7838,0.404124898649019,0.8102,0.417736658440209,0.797,0.410930778544614,,0.515596961787471
0.6399,0.8215,0.423562904108407,0.8486,0.437535581772847,0.8351,0.430575022788717,0.7848,0.404640495610807,0.8107,0.417994456921102,0.7977,0.411291696417865,,0.515596961787471
0.64,0.8225,0.424078501070195,0.8492,0.43784493994992,0.8358,0.430935940661968,0.7857,0.405104532876416,0.8112,0.418252255401996,0.7985,0.411704173987295,,0.515596961787471
0.6401,0.8234,0.424542538335803,0.8497,0.438102738430814,0.8365,0.431296858535219,0.7867,0.405620129838203,0.8118,0.418561613579069,0.7992,0.412065091860546,,0.515596961787471
0.6402,0.8243,0.425006575601412,0.8502,0.438360536911707,0.8373,0.431709336104649,0.7876,0.406084167103812,0.8123,0.418819412059962,0.7999,0.412426009733798,,0.515596961787471
