LAM,Th_P90,Th_P90_corr,Th_P0,Th_P0_corr,Th_UnPol,Th_UnPol_corr,Lab_P90,Lab_P90_corr,Lab_P0,Lab_P0_corr,Lab_Unpol,Lab_Unpol_corr,,U-Arm
0.4014,0.8144,0.4420,0.7699,0.4179,0.7922,0.4300,0.7446,0.4041,0.7039,0.3820,0.7243,0.3931,,0.542733643986811
0.4015,0.8153,0.4425,0.7656,0.4155,0.7904,0.4290,0.7455,0.4046,0.6999,0.3799,0.7227,0.3922,,0.542733643986811
0.4016,0.8162,0.4430,0.7611,0.4131,0.7887,0.4281,0.7464,0.4051,0.6959,0.3777,0.7211,0.3914,,0.542733643986811
0.4017,0.8171,0.4435,0.7566,0.4106,0.7869,0.4271,0.7472,0.4055,0.6919,0.3755,0.7195,0.3905,,0.542733643986811
0.4018,0.8181,0.4440,0.7521,0.4082,0.7851,0.4261,0.7481,0.4060,0.6878,0.3733,0.7179,0.3896,,0.542733643986811
0.4019,0.819,0.4445,0.7475,0.4057,0.7832,0.4251,0.749,0.4065,0.6836,0.3710,0.7163,0.3888,,0.542733643986811
0.402,0.8199,0.4450,0.7429,0.4032,0.7814,0.4241,0.7499,0.4070,0.6794,0.3687,0.7147,0.3879,,0.542733643986811
0.4021,0.8208,0.4455,0.7382,0.4006,0.7795,0.4231,0.7508,0.4075,0.6752,0.3665,0.713,0.3870,,0.542733643986811
0.4022,0.8217,0.4460,0.7335,0.3981,0.7776,0.4220,0.7517,0.4080,0.6709,0.3641,0.7113,0.3860,,0.542733643986811
0.4023,0.8226,0.4465,0.7287,0.3955,0.7756,0.4209,0.7526,0.4085,0.6666,0.3618,0.7096,0.3851,,0.542733643986811
0.4024,0.8235,0.4469,0.7238,0.3928,0.7737,0.4199,0.7535,0.4089,0.6622,0.3594,0.7078,0.3841,,0.542733643986811
0.4025,0.8244,0.4474,0.7189,0.3902,0.7716,0.4188,0.7544,0.4094,0.6578,0.3570,0.7061,0.3832,,0.542733643986811
0.4026,0.8253,0.4479,0.7139,0.3875,0.7696,0.4177,0.7552,0.4099,0.6533,0.3546,0.7043,0.3822,,0.542733643986811
0.4027,0.8262,0.4484,0.7089,0.3847,0.7675,0.4165,0.7561,0.4104,0.6488,0.3521,0.7024,0.3812,,0.542733643986811
0.4028,0.827,0.4488,0.7038,0.3820,0.7654,0.4154,0.757,0.4108,0.6442,0.3496,0.7006,0.3802,,0.542733643986811
0.4029,0.8279,0.4493,0.6987,0.3792,0.7633,0.4143,0.7579,0.4113,0.6395,0.3471,0.6987,0.3792,,0.542733643986811
0.403,0.8287,0.4498,0.6935,0.3764,0.7611,0.4131,0.7587,0.4118,0.6348,0.3445,0.6968,0.3782,,0.542733643986811
0.4031,0.8296,0.4503,0.6882,0.3735,0.7589,0.4119,0.7596,0.4123,0.6301,0.3420,0.6949,0.3771,,0.542733643986811
0.4032,0.8304,0.4507,0.6829,0.3706,0.7567,0.4107,0.7604,0.4127,0.6253,0.3394,0.6929,0.3761,,0.542733643986811
0.4033,0.8312,0.4511,0.6775,0.3677,0.7544,0.4094,0.7613,0.4132,0.6205,0.3368,0.6909,0.3750,,0.542733643986811
0.4034,0.832,0.4516,0.6721,0.3648,0.7521,0.4082,0.7621,0.4136,0.6156,0.3341,0.6889,0.3739,,0.542733643986811
0.4035,0.8328,0.4520,0.6667,0.3618,0.7497,0.4069,0.7629,0.4141,0.6107,0.3314,0.6868,0.3727,,0.542733643986811
0.4036,0.8336,0.4524,0.6612,0.3589,0.7474,0.4056,0.7637,0.4145,0.6057,0.3287,0.6847,0.3716,,0.542733643986811
